"state","Change in Total Homelessness, 2016-2017","Change in Total Homelessness, 2015-2017","Change in Total Homelessness, 2014-2017","Change in Total Homelessness, 2013-2017","Change in Total Homelessness, 2012-2017","Change in Total Homelessness, 2011-2017","Change in Total Homelessness, 2010-2017","Change in Total Homelessness, 2009-2017","Change in Total Homelessness, 2008-2017","Change in Total Homelessness, 2007-2017"
"AK","-0.048969","-0.056748","0.0341928","-0.051901","-0.035546","-0.132989","-0.009662","-0.073795","0.1208991","0.1236297"
"AL","-0.077353","-0.044584","-0.168384","-0.191086","-0.271837","-0.31756","-0.372643","-0.376151","-0.295898","-0.304292"
"AR","0.001624","-0.036328","-0.159741","-0.352833","-0.41457","-0.279498","-0.106807","-0.134993","-0.242089","-0.356882"
"AZ","-0.078294","-0.095897","-0.147499","-0.152907","-0.20837","-0.148229","-0.347458","-0.392229","-0.283552","-0.389116"
"CA","0.1365814","0.1601894","0.1783734","0.1326507","0.1180702","0.0731251","0.0874474","0.0857064","-0.016502","-0.033874"
"CO","0.0369668","0.0991661","0.0909454","0.1215911","-0.347567","-0.276264","-0.293373","-0.283469","-0.258154","-0.230931"
"CT","-0.131727","-0.162837","-0.238652","-0.238309","-0.195058","-0.239677","-0.215014","-0.264278","-0.267776","-0.244087"
"DC","-0.10503","0.0239792","-0.035493","0.0885652","0.0746333","0.1416132","0.1428353","0.1999037","0.2364328","0.4046992"
"DE","-0.071028","0.043022","0.1032186","0.05074","-0.013889","-0.039614","0.01222","-0.120354","0.0653805","-0.063148"
"FL","-0.040794","-0.103343","-0.225122","-0.327441","-0.416531","-0.432145","-0.44067","-0.421033","-0.358228","-0.330338"
"GA","-0.211868","-0.262219","-0.384178","-0.400507","-0.504094","-0.514946","-0.487094","-0.500295","-0.46719","-0.481949"
"GU","-0.214747","-0.334375","-0.371681","-0.329662","-0.345119","-0.511748","-0.478899","-0.216912","0.1751724","0.1751724"
"HI","-0.088499","-0.052493","0.0436542","0.1397001","0.1559398","0.1667744","0.2375728","0.2487029","0.1912226","0.1894563"
"IA","-0.100522","-0.105485","-0.117233","-0.106355","-0.058743","-0.120613","-0.085601","-0.184615","-0.17633","0.0080468"
"ID","-0.093458","0.0361139","-0.031844","0.1437395","0.035061","-0.07367","-0.131714","0.0505415","0.3913934","0.1646655"
"IL","-0.068335","-0.180542","-0.176165","-0.19568","-0.236567","-0.22921","-0.249878","-0.231732","-0.26664","-0.30277"
"IN","-0.06209","-0.072488","-0.089265","-0.10794","-0.131171","-0.122337","-0.157161","-0.221363","-0.264638","-0.26094"
"KS","0.0141907","-0.116306","-0.178225","-0.150761","-0.147914","-0.089207","0.1299407","0.2087738","0.3158803","0.0833728"
"KY","-0.050035","-0.113045","-0.209078","-0.232602","-0.230402","-0.332947","-0.392269","-0.329055","-0.505346","-0.500682"
"LA","-0.172509","-0.190149","-0.282458","-0.367585","-0.574756","-0.644279","-0.735219","-0.735685","-0.397008","-0.398435"
"MA","-0.104192","-0.168914","-0.172906","-0.076935","0.0036569","0.0540687","0.0552085","0.1345433","0.2108783","0.1611688"
"MD","-0.057485","-0.136234","-0.07752","-0.116758","-0.233446","-0.290067","-0.331766","-0.380492","-0.213906","-0.2473"
"ME","0.0174029","-0.038786","-0.16361","-0.244032","-0.047221","-0.068247","-0.041614","-0.067103","-0.133739","-0.135709"
"MI","-0.028446","-0.139312","-0.259753","-0.2148","-0.28121","-0.313538","-0.306862","-0.353731","-0.679588","-0.68012"
"MN","0.0445443","0.0161675","-0.084637","-0.066472","-0.009814","0.0230821","-0.025543","-0.006478","0.0031397","0.0471118"
"MO","-0.025347","-0.068652","-0.17097","-0.296469","-0.410276","-0.328401","-0.25671","-0.13249","-0.214648","-0.033616"
"MP",".",".",".",".",".",".",".",".",".","."
"MS","-0.153049","-0.25769","-0.338724","-0.387432","-0.389971","-0.361665","-0.463361","-0.473722","-0.249363","0.0689906"
"MT","0.0782793","-0.105325","-0.123782","-0.185836","-0.165848","-0.135181","-0.053251","0.2784281","0.0790402","0.3295652"
"NC","-0.062454","-0.161254","-0.220085","-0.263478","-0.337326","-0.305056","-0.264868","-0.306239","-0.277899","-0.240637"
"ND","0.1798483","-0.165517","-0.13434","-0.473659","0.5828488","0.8059701","0.3629537","0.4087969","0.7707317","0.7122642"
"NE","-0.091866","-0.088557","-0.173496","-0.204769","-0.339931","-0.295096","-0.354914","-0.327327","-0.372396","-0.291702"
"NH","0.0658858","0.0076125","0.0581395","0.0062198","-0.026738","-0.00885","-0.074968","-0.114894","-0.278851","-0.352313"
"NJ","-0.04036","-0.154684","-0.268615","-0.288785","-0.344645","-0.396194","-0.378613","-0.351811","-0.38288","-0.506989"
"NM","0.0967742","-0.055915","-0.09614","-0.119546","-0.235131","-0.310747","-0.285755","-0.285755","-0.176783","-0.176783"
"NV","0.0587997","-0.104083","-0.087276","0.1128001","-0.078145","-0.143934","-0.300937","-0.293624","-0.102338","-0.093613"
"NY","0.0364902","0.0141983","0.1105968","0.1559215","0.2865912","0.4107179","0.3642502","0.4656525","0.4642618","0.4297375"
"OH","-0.0297","-0.09721","-0.146156","-0.180933","-0.277742","-0.225249","-0.196833","-0.205118","-0.218169","-0.103782"
"OK","0.0224008","0.1117289","0.0019089","-0.047414","-0.165541","-0.092108","-0.196978","-0.132079","0.0917837","-0.005212"
"OR","0.0540112","0.0549675","0.1470733","0.0094776","-0.118461","-0.191318","-0.284168","-0.193888","-0.324408","-0.206765"
"PA","-0.078297","-0.083198","-0.077936","-0.06284","-0.040581","-0.063461","-0.02604","-0.063461","-0.080635","-0.12836"
"PR","-0.202128","-0.219788","-0.146902","-0.146076","0.0974471","0.2155172","-0.150398","-0.133907","0.1703187","-0.181945"
"RI","0.0172414","0.0621062","-0.008403","-0.147399","-0.075959","0.1028037","-0.079563","-0.265713","-0.013378","-0.139942"
"SC","-0.224708","-0.268584","-0.225628","-0.401589","-0.203255","-0.231102","-0.124525","-0.124525","-0.308127","-0.308127"
"SD","-0.120336","-0.089768","0.0655367","-0.138026","0.0977881","0.1416465","0.2900137","0.2900137","0.6286701","0.6286701"
"TN","-0.053537","-0.089225","-0.117472","-0.127939","-0.118502","-0.088226","-0.191417","-0.211071","-0.143843","-0.258787"
"TX","0.018424","-0.00549","-0.173609","-0.204862","-0.308469","-0.362033","-0.329518","-0.35943","-0.414083","-0.408163"
"UT","0.0160314","-0.05719","-0.074327","-0.129692","-0.191381","-0.088818","-0.131547","-0.248485","-0.169482","-0.052806"
"VA","-0.032068","-0.13341","-0.135755","-0.204328","-0.279796","-0.311819","-0.331828","-0.314618","-0.283623","-0.377488"
"VI","0.1173021","0.1305638","-0.149554","-0.209544","-0.21281","-0.283835","-0.217659","-0.191083","-0.36711","-0.318426"
"VT","0.0966876","-0.195666","-0.21424","-0.157497","0.0560345","0.0708042","0.0040984","0.009061","0.2840671","0.1835749"
"WA","0.0136842","0.0871827","0.1447782","0.1887387","0.0296528","0.0329272","-0.077192","-0.073303","-0.038353","-0.096967"
"WI","-0.115743","-0.170051","-0.169777","-0.176442","-0.16592","-0.131029","-0.206221","-0.229579","-0.077445","-0.10995"
"WV","-0.056236","-0.286649","-0.349727","-0.415625","-0.456846","-0.40796","-0.42182","-0.214757","-0.350694","-0.456621"
"WY","0.0186698","0.093985","0.1532365","-0.083945","-0.518478","-0.15896","0.507772","0.6951456","0.1624501","0.6256983"
"Total","0.0069355","-0.019419","-0.039393","-0.062033","-0.109099","-0.112291","-0.130808","-0.121361","-0.134486","-0.14448"
