the_geom,unsheltered_homeless_2008,county,sheltered_homeless_2007,sheltered_homeless_2008,sheltered_homeless_2009,sheltered_homeless_2010,sheltered_homeless_2011,sheltered_homeless_2012,sheltered_homeless_2013,sheltered_homeless_2014,sheltered_homeless_2015,sheltered_homeless_2016,sheltered_homeless_2017,unsheltered_homeless_2007,cartodb_id,unsheltered_homeless_2009,unsheltered_homeless_2010,unsheltered_homeless_2011,unsheltered_homeless_2012,unsheltered_homeless_2013,unsheltered_homeless_2014,unsheltered_homeless_2015,unsheltered_homeless_2016,unsheltered_homeless_2017,cnty_fips,fips,name,state_fips,state_name
0106000020E61000000100000001030000000100000017000000B6C58F61D5A15EC07476C03449134340F479E0F15E9E5EC0DCCF5042F00A4340CF37C0AE69A05EC0F701E73163024340A6173524469C5EC01C2EFF79D1FD4240F6A4C0865C9F5EC04432A82844F742406B5A671F549D5EC0D294B5C2C7EA4240AB201EA501A15EC035B19FC73AE942400A58F02DA6AA5EC0BADE23F215F442406775913345AC5EC06049AA757BF24240BDB3C9D09EB45EC022F8D869FB004340D8DEC2A0F4BA5EC0A90C0874EB034340ACAE6FE538BD5EC0CC0B1524D1FE4240A063B6CDAFC05EC0F610F0AA4AFF4240A559F1071DBC5EC06EFD722F9E1343406037A254A8BF5EC0F4E2A18A0B2643408477DA6ECDBD5EC058F33B06F9274340C5C60B29DDBB5EC0C005D785762743405A9765214CB95EC0FA3A6FC22C284340D89935E4B3AE5EC0BCAAFB32021A434014948EE178AD5EC0F82B89513D1A43404EBE0C959DA85EC0FAC84A13F8164340F217B2EA23A45EC09ACB79EEB9174340B6C58F61D5A15EC07476C03449134340,400,Marin,602,602,597,597,509,496,505,501,483,423,409,400,206,429,429,353,229,171,178,835,835,708,041,06041,Marin,06,California
0106000020E61000000100000001030000000100000006000000F4A302A3E29F5EC0E93125EDA1D942400CA947BFE29F5EC0AE145D7237E44240501600DBA8995EC03523E60681E74240517C42972C965EC00B7B5E1AD4DC4240C0AC16F971975EC0533CB2E2E9D94240F4A302A3E29F5EC0E93125EDA1D94240,2771,San Francisco,2912,2400,2881,2881,2298,2524,2693,2093,2417,2638,2505,2791,215,2942,2942,3371,3371,4315,4315,4358,4358,4353,075,06075,San Francisco,06,California
0106000020E6100000010000000103000000010000003D00000052B3CDAE772A5EC03C33C170AE2342400947569F272E5EC01528B559ED2742409933D3A4712F5EC0ADF7FADE4F284240D44D9CBB612D5EC089373A0045234240DE0F2ED3E52B5EC0A3F522A0631C424051BEC1932D2C5EC043D83A82651A424052DC4CE0F12E5EC04D829ACE0C1A4240E32F144DF3315EC060C291D5671D424009EF40D7DD345EC017A0C8EE5D2442402435C4E3A8385EC00DA93F4EDA264240E4A93FA9533A5EC017C3CD9047264240BBB03DCC413B5EC05C9A119411244240D642C1738C3D5EC03FED0975052542405922C453973D5EC066051256DB2342403499D819723F5EC0EC3D2A381B224240420D3A7C2D405EC058FEBE7782234240AB1A29002B415EC0B5A4E5389E234240CA7B070546425EC03DA55A76CE2A4240B19E62EEFD4B5EC08B534A5B1E3A4240B13A0F7A784E5EC00EB93A7C2940424073E83E4AF6525EC01E4807B9C54042409930376BF2525EC066B8C7F31544424008D08CD17C545EC0CD678A4A34494240EF79175232545EC085045283654E42400FDC9AD785555EC082124D3D5E524240322889DB97565EC0DF65D01ACD5342402A984AA28B585EC084F9C839F3534240C05FAB88435A5EC0870720F725564240103303AECE5B5EC01C2BAD9626564240B6739294915D5EC0869090D4845842400CBA7317175E5EC0D89D8B12365B42402F7E8592AA5C5EC0E2261F928C5B4240135829D2775C5EC077052ED1515C424088A6C375525D5EC054E153298B61424068F17BFEE85F5EC0397DA089EE614240E1485EA514645EC07ECDCD925B6842400611674D05685EC00750429F7E6F42406D77286D1E685EC0A1894DB7AE7242401AEA030B58675EC0E5680A74D8734240151815E510655EC0F33F5475EA7242400C18C9C367645EC0D23D04B8CD714240DAEC82A027635EC06DB755F7E57142400682BEFC27625EC0239429AC75754240E6004555E15F5EC08D4BD1A13E7842407D20DC114C5F5EC01241E6142E7C4240CEF8840D0B5E5EC08BD03A706F7D42402D250D66BA5B5EC0171BA9ADC77D42407DCEBCA0AE595EC029AA8616BC7A4240036A415A294D5EC08CEEA4AE4A7A42407E9C9BFCF74D5EC07CC7195881774240754BDD5BB24D5EC05A96B73CB9754240163B5432C44A5EC0B8431E1CC773424094D818E858485EC05CBEDCC49C6D42400A9B85662C485EC07991E8E94C6B4240B84F96734C3B5EC0845C6FBCB7604240C2B13E50F4395EC0B91BE1408A5E42408FED4A0534255EC0D221AACFD93D424053243EFB3A255EC0991EC14BF82A42407C9D716DEA295EC0EB14D4851228424008F13790A42A5EC090D69CAC6626424052B3CDAE772A5EC03C33C170AE234240,893,San Benito,509,509,779,779,788,762,749,756,852,915,850,893,1876,1628,1628,1911,1911,2206,2206,2107,2107,2514,069,06069,San Benito,06,California
0106000020E610000001000000010300000001000000460000003DB1F3DB3C295EC071B7985D7F7C414004C7E91479275EC0A9ACE096938941407B587FB6DB285EC087EEC472EC914140D837073A20375EC05E68AED3C89A4140F6F7E7DC8C385EC0F1B3363234A14140757E405666365EC0E59C9627A9AE4140E049C97A03385EC0BB483E02C1B64140D84E8C137C3F5EC096DC723F71BA41402E1B423A61495EC00B6AF0A58DD04140AAEA0EF74B515EC0987662BDEED441401C9669A80F555EC031648E4888E641400FB5D042C00C5EC055B5304D89E5414061EF51C1190C5EC03593350BB0E54140B6C913CE8F0B5EC05D65F18B60CF4140A8ABB7DDF6045EC01B2B52DD33CF41409C9F4563AB045EC0FBE218EA2CC44140E65DF580B9035EC09CBE22E8FDC341407F6075819E035EC0E91E23EA4FC241408FB1EADE90025EC0B304BE4722C24140E04A555E5B025EC00E3A95CAE3BE4140A8770A1C7D015EC010276A48E0BE41408BDFD23958015EC0C0A35BE914BD4140A1459D565D005EC0AE525127E6BC4140C56B87544B005EC0869F8BC828BB414072D8E0F16BFF5DC0B240A2A6E9BA4140B1734F2E38FF5DC0113CF868F5B74140B73B10FE6AF85DC06A61FD3C99B7414039FD6EF4D0F75DC0EA032C66C2AC4140761A278DEAF35DC03F304F00A8AC4140E34426A6ACF35DC06CDD7A0B73A141408FC97FD4A8EA5DC05A96752067A141407401D479B9EA5DC05EE73277A5964140FF61A648D9E35DC0991C4ECBD596414054E5F70DFEE35DC0F2ADD53F048C41408F2FCA0175DF5DC07D6B71D7DC8B41403C4516823FDF5DC0F79032DA118A4140B0F6036074DE5DC080B142BAED894140AA6DDCC528DE5DC0BEBD6BD01773414068C0496805DF5DC0DFBB93701D734140A885BB481BDF5DC0D030AD34C671414021981F8F4BE15DC0DBCC1938BD714140CDBCA81F8CE75DC05CDADBF39D78414053701D8891EA5DC056775535FB7A4140F7E0BDBCA3F25DC06E004FBD627E41400983F8E19CF75DC0AC5791D101854140A42E4246BAF95DC0A85D23B4AB844140332B04076EFB5DC021C5A5CF33874140D7414E2D55FF5DC00E4CB0302B884140DCAB45FAA3035EC05D2868AC608B41405605B4BE52055EC0C4087EA78B8E4140EDD5E85148095EC051AC8D90058B41401330D359DA0A5EC0B463B874AB8841403629DC5D6D0B5EC00426687A26854140D346D8640B0D5EC0EC6F225D60834140089F392D300F5EC05EE3C83DBC824140B301E0F190105EC0AFA7467D4C834140CC0CFA5614125EC037C457BFC28141406F8BC77FE0145EC025ACAEBF7C8141400277A8BFC1145EC0AD6364E2397F4140EEBEF8DCE8135EC081107F03497E41402A44347867125EC0932319496D79414094CAA9D74C125EC01275170F8C744140570DDB790F135EC06D228ED02A734140FFEFA1A775175EC0B762A0E7A67A41400359B2D7791C5EC079FEBCC2E57E41406D06D1BD7B1E5EC026FF51A3A97E41405312A7CD17245EC0FC1E2F83B57B4140A1A61275D1265EC07F5E02017C7B4140805736395D285EC0B3DEB941FE7941403DB1F3DB3C295EC071B7985D7F7C4140,569,San Luis Obispo,187,281,242,242,228,228,235,244,392,245,303,2221,2117,3587,3587,1901,1901,2122,2122,1123,1123,822,079,06079,San Luis Obispo,06,California
0106000020E61000000100000001030000000100000018000000C3C36AE293605DC066B8C7F315C140408132F8C19A605DC04A48DE1886BE404005481BE4C1615DC03EDD6900A9BB4040ADCA95AC10655DC057F95404EEBA4040B21125AD3A665DC041AEBB1680B24040D8F05775D4865DC0DB526232B0DF4040341B3B13A0855DC01301776E94E1404009695396DD855DC052410B2AA6E5404030D550932E845DC05B1E94C5B7E74040B87C1CB4B4825DC0D96AE6FB6FEE4040FED73531CF805DC03447DAB6BDF04040A4B5794E807F5DC08268F7F50DF14040DBEC7A2F5F7F5DC06831E333FAF24040F7DD5B2E2E7E5DC00F0FFED1F9F4404026142A51197E5DC0B55E5F2DEFF840402E038C3620725DC0579DCD91B2F94040435166A45A6B5DC08A266961C3F040404E2F8C4F5C645DC092B6E9B6E1E140402F7AFA4A18625DC0E5565238CCE04040A0CEAA0901625DC032003363FADA404097C39382935E5DC0C1323EE57BDA4040A038DB37525A5DC0EDB36F9376D4404010DE4703B2605DC02EC9E0ACB1C44040C3C36AE293605DC066B8C7F315C14040,1071,Orange,2578,2578,2609,2609,2667,2738,2573,2155,2251,2118,2208,1071,2424,5724,5724,4272,4272,1678,1678,2201,2201,2584,059,06059,Orange,06,California
0106000020E61000000100000001030000000100000026000000F042E7F359E25EC03585A5ECBAFF4340872251267D005FC00C280E7FD1FF4340054666470D065FC02C2CD92DD90C444005ED827F19165FC031CA3BA04F2044406D3A23C682155FC0100CBD51ED2944408DB496FA20195FC0263BD3D7B5374440DC77772A01075FC0676B3304367D4440EFF9E5BC94095FC0A84213937D904440667A912295045FC0073C93AA2BA844403EB6E187B5035FC0C91FCA1FA5BA4440C551A0ECF9F05EC0C92C31853DBB4440937FDA66F2F05EC09A15BCAE00B04440D93A1F3B7BE95EC0BE9AC958E9AF4440E7FA5F2A4DDF5EC0D1E95829ADAF44408DCF09460ADE5EC0C368B16F02AD4440F32F72E4FBDD5EC0FA7486F33AA9444039556B1F7ADC5EC074B515FB4BA64440F5F89C3FD6DC5EC0F969DC9BDFA344402B88A2BCE6DB5EC094BE318047A2444033A7683827DC5EC0BC35B8C6CA9B4440716D6E6DDDD95EC008E04D544296444024E9812C97DA5EC0EE6C3C964693444030F5F3A6E2DA5EC03EB40BDDD78C4440377A8888D3DC5EC057463C3CF8894440FFD5BA3FA4DA5EC00D116026C485444079F197799FD95EC0743BE22D638144401B99CB3605DC5EC0C51D6FF2DB7A44407E1632F41BDC5EC0E59976B585784440B672C494E7DE5EC09DB8C1F5CD7444405E68CFE1F1E25EC0C472742AD377444068324E0969E65EC00B587A86D37644407095AB489AE65EC03EDEB3C7EE754440E20A627F9DE55EC08AD021D3CE6F44407491C6911CE35EC0D7CA5BE0B8694440F210DFECC3E25EC04959D0C570664440AF2BE24B53E35EC0534ABEC83A644440A65CC8C00DE25EC0411DC153E95C4440F042E7F359E25EC03585A5ECBAFF4340,585,Humboldt,322,322,355,355,407,392,180,248,244,198,325,585,907,1000,1000,454,454,684,684,936,936,434,023,06023,Humboldt,06,California
0106000020E6100000010000000103000000010000006100000058D94655B6BB5EC00FBD418B57FD434009E44CF227E25EC054A0601022FD4340F042E7F359E25EC03585A5ECBAFF4340A65CC8C00DE25EC0411DC153E95C4440AF2BE24B53E35EC0534ABEC83A644440F210DFECC3E25EC04959D0C5706644407491C6911CE35EC0D7CA5BE0B8694440E20A627F9DE55EC08AD021D3CE6F44407095AB489AE65EC03EDEB3C7EE75444068324E0969E65EC00B587A86D37644405E68CFE1F1E25EC0C472742AD3774440B672C494E7DE5EC09DB8C1F5CD7444407E1632F41BDC5EC0E59976B5857844401B99CB3605DC5EC0C51D6FF2DB7A444079F197799FD95EC0743BE22D63814440FFD5BA3FA4DA5EC00D116026C4854440377A8888D3DC5EC057463C3CF889444030F5F3A6E2DA5EC03EB40BDDD78C444024E9812C97DA5EC0EE6C3C9646934440716D6E6DDDD95EC008E04D5442964440CFC5D785BCD75EC02256DA3D54934440D005BB8229D65EC0F91F4F81029444408087BBDDBFD45EC03D3403C72B92444042A411F9CFD25EC0362B70ECB89144403400C8C736CE5EC0BF1458DF448944409E062DA067CB5EC0D7082F877E8844404A7D9BF67BC75EC0ECA47C101B89444007DCEB8BE1C35EC0E7DB48FA3086444032ABDAE258C15EC00B8D5001EA7F4440BB7207FB00BE5EC02743C0E7288144404FF44C71CDBA5EC06A50340F607E44408AF8352FDAB95EC097C3B490FC7E44408A7A3D6F55B95EC0D5CE72D1778244409BCCD3149CBA5EC0D2755DCFC2874440D277F15D8EBD5EC0AB39C468EB8A444021F4BF9EE7BC5EC068A452AACC9044409E7B72C117BD5EC034E18F89319644407003805BDEBA5EC0BB5794AF57964440263FFBF40CB85EC068C85FF7299944407C25D22ECDB55EC0832636DDBA984440F1227E8B6FB45EC0341B5C21C999444048343F0684B25EC018588D46BA994440133F6B2303B15EC0005CE22B2E9D44403E26107E7BAE5EC05F9A01B2809F4440892506FD5CAD5EC0BABA63B1CDA244409A3D333587A95EC050A77ED6E3A4444046413215C9A85EC06CB90A94DAA8444090C80C8E71A55EC092E015DA9CA94440AB1D8B8EA0A45EC09E7D8217BFAE44403C75590AD0A25EC0A18B7E1B7FAE4440122DDC66E8A15EC0A4C55BDF6EAB444011312D0371A05EC05BF7A82209AB4440BB1578DD919E5EC0DA9DFF6849A844403731A85FF79F5EC0F0F87AE7E5A544408E62145F08A15EC09A087EC8199B4440F12BF77EFAA05EC0978F6288B599444075D9D8BA4E9F5EC04754EA8A00974440AB62C7D2499C5EC0C9160F10C892444071161F34F59C5EC0141D6E2CCD8B4440A455CABE6DA15EC09E1549A234894440F5C8D57EE1A15EC0C8DF283FCA8044409F89974489A65EC0021C52772B794440742523E3E8A65EC0B83B6BB7DD714440B65AD4E59CA95EC0ABAD9EB46C6944400BE402650DAA5EC0D5B97915DF6244407102D369DDAC5EC03BA693113C60444048797B4AADAD5EC02F3907322F5E444055ED47482CAD5EC06BF02155525B444087C34E88ABAD5EC0B3F0F5B52E594440734319CB70AF5EC0028CFC34CD5744403156404665AE5EC087F8A83B2651444075B6785FF2AB5EC096B2EB62434B444093FBE3DE38AC5EC0F5D6E164724844408A5BE422A7AE5EC039FF02831C484440F6F9FFA3FCAF5EC04BDBC7239B454440D4E49446EDB15EC01F3AF361AC444440DFBCFE458CB25EC0F9FF4843D3414440A4969CC96DB55EC02A21920039404440E8C5E46829B65EC0850FA1214E3D4440EDBA33EACCB75EC087EC7200B33B44403338840927B95EC00E1F09E2D9374440805988AB56BA5EC0D215AE3F70384440F45C74ECBFBC5EC059C0E35FF43444401C167A2F84BF5EC061DC4FBE873344407F15BFAD24C05EC0DDCEDF000A30444038ABB2AD2EC35EC060A120C2092B4440114E6E886FC35EC0814DAD2956234440A0F2D86487C15EC00AB22B4E312144405866BE4183BF5EC0F2EA3D111B204440124BCADD27BE5EC0A6357AF3231E4440DE388CF6B6BD5EC0C9C6E65731184440053FA2F076BE5EC02A84BCBB21124440AC197C0EEABD5EC01D8C9E7CF6104440A02F624487BD5EC01FBD9F22A00844405CCCAEFFA3BC5EC00EC4EC44CD0544407B15191DD0BC5EC047BA55C67503444058D94655B6BB5EC00FBD418B57FD4340,193,Trinity,54,0,74,74,183,164,272,143,56,35,43,101,930,123,123,139,139,424,424,80,80,133,105,06105,Trinity,06,California
0106000020E61000000100000001030000000100000081000000EB28DE3358675EC0F8CFAA0110A7434029837A6564795EC0E232B8F7BAA64340A675E12875785EC0C1C8AA8C6FB14340A18F852AAD775EC0B8727A078DB643407803D4ED8F775EC043BC9E7D9FBF43406C759C4F5B755EC0CAF4CFFC7FC44340E4256A2F437C5EC00CC7353622C44340F53EE12EF37D5EC0703470D52FC343408F0197CF4B7F5EC06DC83F3388C4434079A7E950997F5EC0BC378E71A8C64340FC5FA6D4427E5EC0C310186F54CD434007069476B87E5EC0DF90C2CCA9D04340943587F79E7D5EC040095CEC30D343400D5830F9B87E5EC000A7FB2923D543406D3EE8B85E7C5EC0DEC965ABE4D643404479D5B9987B5EC0E49C7D8A08DA4340822704DDE47C5EC0A91FABC658DE43405F14357FE97E5EC046DB29040FDF4340096E414256805EC04915628171E1434009D2B5C444805EC030490260FEE44340E20AC5A998825EC0BDA34ABDBCE543401C7FFD6B54835EC0299CB4DBF4E64340FE224F2F84835EC006B2C7D92EEB43404F04501025835EC02001ED58B6ED434022ADADAF20825EC089BA6AF95CEF434006BCCCB091825EC09B3AB098E8EF4340492C6B9331845EC00CFA3D7723EF434002F498D412845EC0124DC1962EF143400975ECFB0B715EC01A012E2BC1F04340C0B996FB2A705EC02423CA8B0AF24340B900133C2E6F5EC0586BEE090EF74340CF0159BA086D5EC060AB46A715FD4340122D3F91E3685EC075B54FA655FD434075FBD5B1C4685EC06A7D57258DFF4340C1F108B000685EC01AC80E85AAFF4340FED80331F9675EC0508D3444570244403FE3E38F79675EC06FB9D9A360024440D703DEB08A675EC02E4F6BC37604444024A1A9AE6E665EC00FCCFA62A90444406ED6E8EE1D665EC08DF71DA2D5064440D97C3B0D41655EC04FF1136289074440C2C2E66F84655EC0DEB3A6602A0C4440723D4482ED5E5EC0F3DD7381470D44405AE3BF82EC5E5EC00FAB6841620E4440ADBDB27F9C5D5EC06DFE80834D0E4440CC191FA09A5D5EC004F490634A0F44404ABDE11DA45C5EC0DFE32B054D0F4440302C7FBEAD5C5EC045F594A484104440654A35FD235C5EC0646A9E658E1044401292BBBE455C5EC06E554C849113444001E5087C325B5EC09E9640C6B3134440052DA898D8595EC085A39A489F134440B5ADC156E4595EC07E34206B5B0C4440AC105ED4D1585EC0E2721F2D8C0C44409D583374E4585EC0586C7AED250B4440D6061F3197575EC09BB37890220A4440224784907D575EC087D141D11B08444044C9FD712F585EC0076024302D08444010F251B137585EC04FCA07B171054440B016A77368595EC0D762E04E5C0544405D5706B4F8595EC0F32C948E6A024440BC4B35F5B25A5EC0D2A94CAD4E02444001D0D514D05A5EC0DAFBD84DBEFF434054C9BE33335A5EC0380B412FD8FF43405DBAEE524F5A5EC07F6209102AFD43404360BC51B1595EC00C6A2A5117FD4340B01ACF90BF595EC03E767A52E4F943403E85AFF1515A5EC0BD191451BCF943406F93DD0EC5595EC0DD59603450F443401CB2C390C35A5EC0F4D89E722FF44340902D4F10CA5A5EC04803F4D27FF243409CCEA14EF1595EC0CCFEAB5471F24340F826D92CCF595EC071246D3618EE434061F8A9A6FB565EC0910276FB4DED4340143B5CA34C565EC033DCA1DD78E84340D3B1F7A02F555EC0A4C55BDF6EE8434089F83DA022555EC07AD3C29FC0E6434031FBE9FD0E545EC04B0FB701A7E643408B4A6E3D18545EC00D60A14150E54340A4FA315AC5525EC0041ED623A6E443403A74FE16F2515EC0DE3C930565E14340F4CFC254E9505EC08936114768E14340C7F4A533C7505EC0065981E77FDF4340FD1D8291B44F5EC0E0B8ADA983DF4340F8EC4EB1894F5EC03049658AB9DD4340DFB46CEF8B4E5EC02AB07C6DE8DD4340427E4F0F7E4E5EC0F915088E0DDC4340A249202D274D5EC0785CF9D115DC4340CCD0DB4C034D5EC075F086139CD84340A45EC7EADC4B5EC04A7CCDF691D84340B32BA9EAD04B5EC013E11577F2D6434039CBD188BE4A5EC0352D2DFAF5D643403EBAC788BA4A5EC0E1329F5A1AD54340D70B70070B4A5EC09D8876FC34D5434093128AC67D495EC01DAC629E53D34340E8D79CA475485EC097E50C4165D3434019DB52A44E485EC0CC917CC265CF434061F337C21E475EC0AD4A85255CCF4340B1AA1C6215475EC0018C04A615CE43403670CD3E4B455EC0C91F2D4A60CE4340387D66DE24455EC0956845ABC5CB4340436678FD93445EC0EF45ACAC0ACC434046C8691D8F445EC058BDEC6C02CA43407C757E1FC8455EC0E483E0E9FCC9434036F379FFBE455EC052D96E8A60C74340C8BBFAE343485EC0AD184BE444C743403301D8E332485EC0DB6FED4449C643409E3C3445E3485EC01478E5824CC6434012F860A504495EC0D60BB223DDC2434072EC8FE6BE495EC039E4F261EEC243405C21ACC6D2495EC034B53202A6C1434053D21E8A9D4B5EC0D8220E7E87C1434032A9E329924B5EC0001DC5BDA2C243402380FEEFC64E5EC0848D5F3689C2434012A410D0D64E5EC083D6EC16BBC0434032C797F5C7515EC0C01A9052C3C04340B4514255B1515EC01176A3F2A3C143406836551857535EC0FA8E0A31D1C14340CA319BF811545EC09FAD6275D4BC43400F817E3AB9555EC07E9A6A9867B94340A66DF41882555EC09A01F41C0DB64340CFFCA4B919575EC0FE6F788360AF43404A83B25B11595EC0AF20EE661DAB4340ACA0D424195E5EC0441A4FE3E2A94340F2B24724215E5EC080DCB8A46EA843409AA5AEC6A35F5EC0AFAD4445C1A64340F8FE06ED55635EC0A0A97403C7A64340AED492126B665EC0A4CEF5E0E2A74340EB28DE3358675EC0F8CFAA0110A74340,270,Butte,936,322,303,347,357,357,289,273,286,289,450,542,1179,386,395,540,540,423,423,285,285,745,007,06007,Butte,06,California
